song_id,title,artist,genre,subgenre,mood,energy,bpm,valence,danceability,acousticness,popularity,instrumentalness,speechiness,liveness
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,pop,post-teen pop,relaxed,0.491,105.046,0.383,0.724,0.018,94,1.29e-05,0.0296,0.0887
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,pop,dance pop,happy,0.751,117.948,0.884,0.88,0.177,94,6.43e-05,0.0874,0.106
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,pop,post-teen pop,relaxed,0.427,76.469,0.0605,0.598,0.0546,94,5.83e-06,0.0317,0.21
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,pop,dance pop,relaxed,0.808,105.027,0.609,0.786,0.0846,93,0.000289,0.0882,0.0822
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,pop,dance pop,intense,0.75,169.954,0.198,0.531,0.00632,93,7.6e-05,0.111,0.117
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,rap,hip hop,focused,0.609,142.037,0.508,0.676,0.0706,93,0.0,0.481,0.152
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,pop,dance pop,focused,0.54,116.947,0.75,0.759,0.037,93,0.0,0.0287,0.0945
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,pop,dance pop,sad,0.34,101.993,0.0916,0.505,0.576,93,0.0,0.0438,0.21
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,rap,hip hop,happy,0.787,126.77,0.836,0.769,0.189,93,0.0,0.367,0.129
5DxXgozhkPLgrbKFY91w0c,Vete,Bad Bunny,rap,trap,focused,0.672,91.976,0.526,0.886,0.0363,93,8.78e-06,0.188,0.101
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,pop,dance pop,focused,0.631,180.051,0.425,0.474,0.0687,92,0.0,0.343,0.132
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,pop,post-teen pop,happy,0.703,94.004,0.788,0.879,0.143,92,0.0,0.0701,0.0569
5ZULALImTm80tzUbYQYM9d,Dance Monkey,Tones and I,pop,dance pop,focused,0.588,98.027,0.513,0.824,0.692,92,0.000104,0.0924,0.149
3VyjsVV24RmBIbWJAeUJNu,No Idea,Don Toliver,rap,hip hop,relaxed,0.614,128.038,0.35,0.656,0.558,92,0.000862,0.102,0.215
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,r&b,hip pop,relaxed,0.566,83.903,0.218,0.511,0.349,92,0.0,0.2,0.34
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,pop,dance pop,relaxed,0.771,99.048,0.569,0.676,0.0237,91,7e-06,0.0483,0.102
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,pop,dance pop,focused,0.526,123.935,0.529,0.598,0.129,91,0.0,0.0415,0.14
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,pop,indie poptimism,focused,0.63,96.493,0.715,0.816,0.133,91,0.0,0.226,0.0692
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,rap,hip hop,party,0.457,136.97,0.296,0.881,0.0327,91,0.0,0.156,0.231
5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,latin,latin pop,relaxed,0.672,181.857,0.343,0.654,0.471,91,0.0,0.311,0.0781
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,pop,post-teen pop,focused,0.63,89.991,0.43,0.654,0.153,91,0.0,0.0259,0.111
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,pop,dance pop,focused,0.646,176.089,0.429,0.754,0.152,91,1.85e-05,0.317,0.108
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,pop,post-teen pop,relaxed,0.682,110.567,0.345,0.477,0.153,91,0.0,0.0925,0.0763
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,post-teen pop,focused,0.621,97.986,0.668,0.857,0.148,91,0.0,0.0824,0.0865
51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,pop,post-teen pop,party,0.391,129.972,0.496,0.843,0.181,91,0.0,0.0845,0.137
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,pop,post-teen pop,relaxed,0.624,176.169,0.244,0.61,0.6,90,2.12e-06,0.309,0.243
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,rap,hip hop,party,0.545,97.008,0.244,0.809,0.392,90,0.0,0.0735,0.151
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,pop,dance pop,relaxed,0.836,80.002,0.623,0.734,0.017,90,1.64e-05,0.0735,0.179
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,pop,indie poptimism,focused,0.675,101.956,0.842,0.798,0.0912,90,0.0,0.0442,0.0894
7sQKy5vlPQllr0k9IjYJv3,Sigues Con El,Dimelo Flow,latin,latin pop,focused,0.668,87.972,0.676,0.883,0.11,90,0.000529,0.113,0.0734
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,pop,post-teen pop,relaxed,0.816,95.39,0.557,0.548,0.122,90,0.0,0.0465,0.335
6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,Daddy Yankee,pop,dance pop,happy,0.901,93.979,0.708,0.658,0.0478,90,0.0,0.0357,0.12
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),SHAED,pop,post-teen pop,focused,0.459,126.803,0.498,0.619,0.56,90,0.0,0.0334,0.137
1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,pop,post-teen pop,relaxed,0.642,179.974,0.226,0.745,0.0204,90,0.0,0.287,0.0658
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,rap,hip hop,sad,0.369,140.005,0.235,0.736,0.334,90,0.0,0.0688,0.126
7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,pop,dance pop,relaxed,0.575,111.881,0.183,0.459,0.604,90,0.0,0.0573,0.0885
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,r&b,neo soul,relaxed,0.625,150.277,0.346,0.335,0.164,90,0.0,0.0386,0.0708
0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Post Malone,latin,latin pop,relaxed,0.653,150.068,0.163,0.548,0.456,90,0.0,0.081,0.103
2pWOMNQJW3g2zmGjP0Vkb0,Whine Up,Nicky Jam,latin,reggaeton,focused,0.665,104.957,0.662,0.817,0.0549,90,0.0,0.0758,0.103
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,pop,post-teen pop,chill,0.317,140.048,0.327,0.778,0.592,90,0.0,0.334,0.0881
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,pop,post-teen pop,focused,0.619,136.041,0.639,0.878,0.0533,90,0.0,0.102,0.113
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,rap,hip hop,relaxed,0.491,153.131,0.114,0.559,0.0567,89,0.0,0.0346,0.0992
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,r&b,urban contemporary,sad,0.296,115.284,0.12,0.351,0.934,89,0.0,0.0333,0.095
37zdqI4r1gswIzczSBkRon,Aventura,Lunay,rap,trap,happy,0.726,92.025,0.876,0.729,0.223,89,0.0,0.0422,0.101
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,pop,post-teen pop,relaxed,0.792,100.015,0.671,0.687,0.191,89,0.0,0.0452,0.167
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Ed Sheeran,pop,post-teen pop,focused,0.648,92.977,0.548,0.64,0.124,89,0.0,0.187,0.0802
2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,pop,dance pop,focused,0.438,129.038,0.695,0.865,0.177,89,0.0,0.0719,0.0743
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,pop,post-teen pop,relaxed,0.892,95.927,0.478,0.668,0.298,89,0.0,0.0645,0.735
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,pop,post-teen pop,relaxed,0.463,95.971,0.397,0.732,0.374,89,0.0,0.0287,0.194
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,r&b,hip pop,sad,0.267,110.011,0.0592,0.567,0.839,88,1.46e-06,0.0299,0.089
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,MEDUZA,latin,latin pop,relaxed,0.744,124.08,0.631,0.677,0.0404,88,0.00016,0.0295,0.074
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,rap,hip hop,focused,0.538,122.973,0.516,0.453,0.449,88,0.0,0.0638,0.19
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,rap,gangster rap,relaxed,0.52,159.801,0.129,0.585,0.124,88,7.01e-05,0.0712,0.131
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),Drake,rap,hip hop,party,0.502,100.541,0.101,0.831,0.101,88,0.0,0.046,0.122
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,pop,dance pop,focused,0.548,116.967,0.749,0.759,0.0392,88,0.0,0.029,0.0828
7HMmFQsKsljwTw8bS7lu19,Rare,Selena Gomez,pop,dance pop,focused,0.545,114.998,0.631,0.838,0.208,88,8.01e-05,0.0706,0.103
6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,rap,trap,focused,0.692,159.966,0.578,0.685,0.328,88,0.0,0.0457,0.153
0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,rap,hip hop,focused,0.652,154.187,0.777,0.768,0.113,88,0.0,0.307,0.107
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,pop,post-teen pop,relaxed,0.758,192.091,0.371,0.694,0.278,88,1.34e-06,0.218,0.102
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,pop,post-teen pop,chill,0.186,72.541,0.321,0.708,0.868,88,0.0,0.0422,0.0779
2rc7BkzO8qepMFAxHtOrXc,Blanco,J Balvin,pop,dance pop,party,0.706,100.013,0.593,0.87,0.0253,88,0.0063,0.126,0.0872
7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,pop,post-teen pop,relaxed,0.759,91.952,0.579,0.78,0.462,88,0.000868,0.225,0.143
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,r&b,urban contemporary,relaxed,0.385,95.799,0.323,0.572,0.371,88,0.0,0.0308,0.231
6Y4PDQv4XjYjHLeLmvyOt0,Si Te Vas,Sech,pop,post-teen pop,focused,0.644,174.1,0.554,0.732,0.0934,88,4.54e-06,0.132,0.143
6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD),Ellie Goulding,pop,post-teen pop,happy,0.768,75.025,0.759,0.657,0.108,88,0.0,0.0507,0.144
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,pop,post-teen pop,focused,0.488,136.041,0.533,0.752,0.297,88,9.11e-06,0.0705,0.0936
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,pop,dance pop,happy,0.724,121.974,0.898,0.77,0.0167,88,0.0105,0.0495,0.353
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,latin,latin hip hop,relaxed,0.78,124.949,0.666,0.776,0.0622,88,0.0,0.128,0.081
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,latin,latin pop,focused,0.673,110.962,0.786,0.787,0.256,88,3.57e-06,0.158,0.0904
598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,rap,hip hop,focused,0.602,142.959,0.43,0.882,0.0177,88,0.0,0.245,0.178
5Id5B3dxJZhPcV9GzgYZZe,Quizas,Rich Music LTD,latin,reggaeton,relaxed,0.815,176.075,0.677,0.727,0.0258,88,0.0,0.153,0.231
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,latin,latin hip hop,party,0.781,104.0,0.359,0.817,0.00838,88,5.21e-06,0.112,0.123
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,pop,post-teen pop,focused,0.479,89.911,0.913,0.76,0.556,88,0.0,0.0466,0.0703
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,pop,post-teen pop,relaxed,0.771,99.048,0.569,0.676,0.0237,88,7e-06,0.0483,0.102
2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),JP Saxe,pop,post-teen pop,focused,0.473,75.801,0.604,0.464,0.866,88,0.0,0.129,0.109
1nocRtwyNPVtGcIJqfgdzZ,Tutu,Camilo,latin,latin pop,happy,0.832,146.013,0.94,0.731,0.273,88,0.0,0.0503,0.0665
59s0s39NFWScuHDbHytI14,Indeciso,Reik,pop,dance pop,happy,0.748,94.949,0.896,0.738,0.182,88,0.0,0.0453,0.11
3ClBKQkKoaUQ6UOhe2xlJK,Good News,Mac Miller,rap,hip hop,sad,0.32,174.088,0.241,0.794,0.853,87,0.134,0.173,0.112
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,pop,dance pop,focused,0.678,103.952,0.404,0.693,0.0154,87,6.05e-06,0.0324,0.101
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,rap,hip hop,focused,0.662,75.445,0.844,0.876,0.0608,87,0.0,0.426,0.127
7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,pop,post-teen pop,intense,0.8,139.919,0.272,0.499,0.0906,87,0.0,0.0502,0.147
6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,pop,post-teen pop,relaxed,0.583,92.043,0.187,0.667,0.231,87,4.48e-05,0.0747,0.181
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,pop,post-teen pop,focused,0.522,89.96,0.925,0.755,0.533,87,0.0,0.0575,0.0685
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,pop,dance pop,focused,0.498,98.016,0.652,0.74,0.0169,87,0.00282,0.0456,0.319
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,rap,hip hop,party,0.591,139.864,0.309,0.802,0.0104,87,0.0,0.225,0.196
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,pop,dance pop,relaxed,0.704,133.002,0.628,0.719,0.0691,87,0.0,0.0476,0.166
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,pop,post-teen pop,party,0.73,155.008,0.446,0.834,0.00513,87,0.0,0.222,0.124
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Grande,pop,post-teen pop,focused,0.653,106.966,0.412,0.717,0.229,87,0.0,0.0658,0.101
1mpD5Q8IM32I4bF6eCpU74,Up All Night,Khalid,pop,post-teen pop,relaxed,0.712,93.989,0.669,0.665,0.00103,87,0.00342,0.0527,0.102
2qG5sZ7Si6sdK74qLxedYM,Con Altura,ROSALÍA,latin,latin pop,focused,0.689,97.963,0.746,0.882,0.39,87,0.00325,0.124,0.0501
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,rap,trap,focused,0.613,75.023,0.473,0.74,0.258,87,0.00372,0.145,0.123
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,pop,post-teen pop,relaxed,0.578,145.038,0.341,0.68,0.331,87,0.0,0.04,0.135
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,pop,dance pop,relaxed,0.86,93.989,0.656,0.737,0.11,87,1.94e-06,0.0593,0.0574
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,pop,dance pop,relaxed,0.841,109.034,0.392,0.591,0.0119,87,0.0,0.0304,0.395
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,pop,post-teen pop,happy,0.734,137.958,0.952,0.842,0.0427,87,0.0,0.0588,0.106
4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,pop,indie poptimism,sad,0.389,120.046,0.196,0.905,0.74,87,0.162,0.332,0.106
1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,Dalex,latin,latin pop,happy,0.715,165.941,0.758,0.795,0.141,87,2.12e-06,0.0838,0.179
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,pop,dance pop,relaxed,0.52,102.998,0.347,0.741,0.45,87,1.97e-06,0.0656,0.222
3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,latin,latin pop,focused,0.666,139.987,0.405,0.664,0.193,87,0.0,0.0446,0.0854
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,pop,post-teen pop,chill,0.308,111.202,0.361,0.736,0.946,86,0.0,0.0677,0.186
6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,pop,indie poptimism,focused,0.444,185.044,0.569,0.726,0.283,86,0.143,0.372,0.177
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,pop,electropop,party,0.728,130.049,0.43,0.841,0.0847,86,0.0,0.0484,0.149
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,pop,dance pop,relaxed,0.828,124.052,0.517,0.737,0.0149,86,0.000583,0.0396,0.0862
4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,Jhay Cortez,pop,post-teen pop,party,0.786,91.973,0.58,0.806,0.145,86,0.0,0.0741,0.0935
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,pop,electropop,relaxed,0.449,77.169,0.357,0.754,0.0332,86,8.29e-05,0.109,0.552
4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,Selena Gomez,pop,post-teen pop,focused,0.564,154.355,0.55,0.563,0.114,86,0.0254,0.271,0.304
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,pop,dance pop,focused,0.652,95.977,0.931,0.825,0.581,86,0.0,0.0802,0.0931
2FvD20Z8aoWIePi7PoN8sG,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,rap,hip hop,focused,0.582,160.004,0.542,0.816,0.0794,86,5.84e-06,0.341,0.0916
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,latin,tropical,happy,0.773,126.899,0.761,0.826,0.323,86,0.0,0.0524,0.143
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Kina,pop,electropop,sad,0.235,118.917,0.0895,0.498,0.72,86,0.0,0.188,0.144
56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,pop,post-teen pop,focused,0.631,111.983,0.545,0.845,0.188,86,0.0,0.216,0.0806
2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,pop,dance pop,relaxed,0.585,110.94,0.324,0.591,0.143,86,0.0,0.0277,0.109
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,Taylor Swift,pop,post-teen pop,focused,0.671,85.026,0.714,0.771,0.00929,86,0.0,0.0553,0.0637
7KbF6AdprOXEEHlsq11Z6d,11 PM,Maluma,latin,latin pop,relaxed,0.712,95.692,0.68,0.777,0.217,86,0.0,0.277,0.091
1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,latin pop,happy,0.709,170.001,0.831,0.743,0.0451,86,5.18e-06,0.0879,0.0809
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,latin,latin pop,focused,0.518,151.891,0.877,0.815,0.223,86,0.0,0.0897,0.104
25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,J Balvin,rap,trap,happy,0.791,92.603,0.939,0.639,0.0275,86,0.0,0.253,0.362
1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,Piso 21,latin,latin pop,focused,0.542,90.016,0.637,0.728,0.259,86,0.0,0.0514,0.136
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,latin,latin pop,focused,0.496,94.01,0.874,0.795,0.108,86,0.0,0.0722,0.0645
4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,Sech,rap,trap,happy,0.79,175.988,0.763,0.725,0.0711,86,1.14e-06,0.197,0.0602
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,r&b,hip pop,focused,0.537,128.009,0.711,0.921,0.556,86,0.00404,0.0804,0.102
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,r&b,hip pop,relaxed,0.529,161.989,0.203,0.671,0.0769,86,0.000335,0.307,0.0856
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,pop,post-teen pop,relaxed,0.904,82.014,0.681,0.579,0.193,86,0.0,0.0618,0.064
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,r&b,hip pop,relaxed,0.816,95.39,0.557,0.548,0.122,86,0.0,0.0465,0.335
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,rap,trap,party,0.391,134.021,0.437,0.872,0.469,86,4.13e-06,0.242,0.297
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,latin,latin hip hop,relaxed,0.448,95.05,0.168,0.599,0.163,86,0.0,0.0232,0.106
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,r&b,urban contemporary,focused,0.557,150.073,0.483,0.652,0.74,86,0.0,0.0318,0.124
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,rap,hip hop,party,0.364,123.984,0.463,0.837,0.149,86,0.0,0.276,0.271
4hPpVbbakQNv8YTHYaOJP4,One Thing Right,Marshmello,pop,dance pop,focused,0.623,88.042,0.439,0.659,0.0667,85,0.0,0.0451,0.582
3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,dance pop,focused,0.603,205.272,0.422,0.448,0.433,85,0.0,0.064,0.0862
5099x34vBakWpGkHourFxP,Qué Pena,Maluma,latin,latin pop,focused,0.661,126.15,0.858,0.635,0.102,85,0.0,0.364,0.336
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,pop,dance pop,relaxed,0.862,123.994,0.592,0.791,0.037,85,2.19e-05,0.11,0.0814
7hpJ9tATWb2vztlq99hERP,Maniac,Conan Gray,r&b,hip pop,focused,0.647,107.987,0.522,0.623,0.00122,85,0.0,0.04,0.354
40rXWke6SnXiGkSmaT8ZUr,Fantasía,Ozuna,latin,latin pop,happy,0.719,180.074,0.781,0.695,0.227,85,0.000171,0.0903,0.0884
3g0mEQx3NTanacLseoP0Gw,Takeaway,The Chainsmokers,pop,post-teen pop,relaxed,0.511,100.1,0.351,0.528,0.126,85,0.0,0.0324,0.101
2bPtwnrpFNEe8N7Q85kLHw,Combatchy (feat. MC Rebecca),Anitta,latin,latin pop,party,0.73,150.134,0.605,0.826,0.383,85,0.000374,0.0809,0.0197
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,pop,dance pop,relaxed,0.882,99.991,0.385,0.77,0.194,85,0.0,0.0602,0.316
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,YNW Melly,rap,gangster rap,happy,0.73,115.007,0.74,0.759,0.145,85,3.06e-06,0.0516,0.11
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,pop,dance pop,focused,0.524,95.01,0.661,0.748,0.414,85,0.0,0.0338,0.111
4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,rap,gangster rap,happy,0.713,175.041,0.762,0.787,0.0849,85,0.0,0.401,0.717
4lKuzrdZrJuCAedbIslF3A,SENTADÃO,Pedro Sampaio,latin,latin pop,happy,0.869,173.997,0.924,0.68,0.178,85,0.0,0.0589,0.223
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,pop,post-teen pop,focused,0.496,86.003,0.544,0.889,0.259,85,0.0,0.0905,0.252
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,pop,dance pop,happy,0.862,119.991,0.798,0.645,0.0923,85,0.0,0.0965,0.192
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,pop,post-teen pop,focused,0.662,93.023,0.434,0.581,0.0153,85,0.0,0.303,0.111
